timestamp,city,weather,weather description,temperature,humidity,pressure,wind speed,wind direction,clouds
2026-06-06 15:58:49.350731,paris,Clouds,broken clouds,62.17,65,1018,5.01,0,65
2026-06-06 16:00:49.354076,paris,Clouds,broken clouds,62.17,65,1018,5.01,0,65
2026-06-06 16:02:49.347912,paris,Clouds,broken clouds,62.17,65,1018,5.01,0,65
2026-06-06 16:04:49.355566,paris,Clouds,broken clouds,62.02,65,1018,5.01,0,65
2026-06-06 16:06:49.361564,paris,Clouds,broken clouds,62.02,65,1018,5.01,0,65
2026-06-06 16:08:49.375981,paris,Clouds,broken clouds,62.02,65,1018,5.01,0,65
2026-06-06 16:10:49.349095,paris,Clouds,broken clouds,62.02,65,1017,5.01,0,65
2026-06-06 16:12:49.377678,paris,Clouds,broken clouds,62.02,65,1018,5.01,0,65
2026-06-06 16:13:17.018652,new york,Clouds,scattered clouds,89.11,44,1007,21.99,269,42
2026-06-06 16:13:18.187469,los angeles,Clouds,overcast clouds,75.24,63,1010,9.01,195,91
2026-06-06 16:13:19.357355,san francisco,Clouds,overcast clouds,62.42,59,1011,15.99,273,97
2026-06-06 16:13:20.530799,boston,Clouds,overcast clouds,84.88,51,1005,4,158,100
2026-06-06 16:13:21.691764,toronto,Clouds,few clouds,76.39,61,1007,8.99,342,23
2026-06-06 16:13:22.871245,mexico city,Rain,light rain,75.78,39,1008,4.83,143,100
2026-06-06 16:13:24.038405,london,Clouds,overcast clouds,57.22,83,1011,10,332,100
2026-06-06 16:13:25.191121,paris,Clouds,broken clouds,62.02,65,1018,5.01,0,65
2026-06-06 16:13:26.453680,rome,Clouds,overcast clouds,82.69,58,1017,5.06,178,100
2026-06-06 16:13:27.785,tokyo,Clouds,overcast clouds,62.51,89,1018,5.06,51,100
2026-06-06 16:13:28.961818,st. louis,Clouds,overcast clouds,86.61,63,1012,1.99,281,98
2026-06-06 16:13:30.127193,beijing,Clear,clear sky,57.96,72,1013,0.87,3,0
2026-06-06 16:13:31.294175,shanghai,Clouds,scattered clouds,71.06,78,1007,1.72,49,30
2026-06-06 16:13:32.468703,chicago,Clouds,scattered clouds,78.42,70,1011,5.99,26,50
2026-06-06 16:13:33.628383,seoul,Clouds,overcast clouds,68.68,45,1011,4.65,58,100
2026-06-06 16:13:34.790788,berlin,Clouds,overcast clouds,61.68,80,1015,5.5,152,100
2026-06-06 16:13:35.951828,mumbai,Clouds,overcast clouds,87.57,67,1006,5.95,293,100
2026-06-06 16:13:37.110200,kansas city,Clouds,overcast clouds,81.48,72,1011,12.15,202,100
2026-06-06 16:13:38.266466,detroit,Clouds,few clouds,86.31,52,1009,1.99,266,11
2026-06-06 16:14:49.362650,paris,Clouds,broken clouds,62.02,65,1017,5.01,0,65
2026-06-06 16:16:49.376484,paris,Clouds,broken clouds,62.02,65,1017,5.01,0,65
2026-06-06 16:18:49.360856,paris,Clouds,broken clouds,62.02,65,1017,5.01,0,65
2026-06-06 16:20:49.389924,paris,Clouds,broken clouds,62.02,65,1017,5.01,0,65
2026-06-06 16:22:49.358447,paris,Clouds,broken clouds,62.02,65,1017,5.01,0,65
2026-06-06 16:24:49.358017,paris,Clouds,broken clouds,61.9,65,1018,5.01,0,65
2026-06-06 16:26:49.447165,paris,Clouds,broken clouds,61.9,65,1018,5.01,0,65
2026-06-06 16:28:49.360032,paris,Clouds,broken clouds,61.9,65,1018,5.01,0,65
2026-06-06 16:30:49.353465,paris,Clouds,broken clouds,61.9,65,1018,5.01,0,65
2026-06-06 16:32:49.357183,paris,Clouds,broken clouds,61.7,65,1018,5.01,0,65
2026-06-06 16:33:48.027258,new york,Clouds,scattered clouds,89.01,44,1007,21.99,272,39
2026-06-06 16:33:49.191651,los angeles,Clouds,overcast clouds,76.05,61,1010,9.28,206,94
